  #liquid density at 303.00000   K =  722.67389 kg/cu.m
#    fluids/DECANE.FLD  1.0000
 # variables = "percent vol evap"  "temperature (C)" 
     99.41779   174.12017
     99.42179   174.12017
     99.42575   174.12017
     99.42969   174.12017
     99.43360   174.12017
     99.43748   174.12017
     99.44134   174.12017
     99.44517   174.12017
     99.44897   174.12017
     99.45275   174.12017
     99.45650   174.12017
     99.46023   174.12017
     99.46393   174.12017
     99.46761   174.12017
     99.47126   174.12017
     99.47488   174.12017
     99.47848   174.12017
     99.48206   174.12017
     99.48561   174.12017
     99.48913   174.12017
     99.49264   174.12017
     99.49612   174.12017
     99.49957   174.12017
     99.50300   174.12017
     99.50641   174.12017
     99.50979   174.12017
     99.51315   174.12017
     99.51649   174.12017
     99.51981   174.12017
     99.52310   174.12017
     99.52637   174.12017
     99.52962   174.12017
     99.53284   174.12017
     99.53604   174.12017
     99.53923   174.12017
     99.54238   174.12017
     99.54552   174.12017
     99.54864   174.12017
     99.55173   174.12017
     99.55481   174.12017
     99.55786   174.12017
     99.56089   174.12017
     99.56390   174.12017
     99.56689   174.12017
     99.56986   174.12017
     99.57281   174.12017
     99.57574   174.12017
     99.57865   174.12017
     99.58154   174.12017
     99.58440   174.12017
     99.58725   174.12017
     99.59008   174.12017
     99.59289   174.12017
     99.59569   174.12017
     99.59846   174.12017
     99.60121   174.12017
     99.60394   174.12017
     99.60666   174.12017
     99.60936   174.12017
     99.61204   174.12017
     99.61470   174.12017
     99.61734   174.12017
     99.61996   174.12017
     99.62257   174.12017
     99.62515   174.12017
     99.62772   174.12017
     99.63028   174.12017
     99.63281   174.12017
     99.63533   174.12017
     99.63783   174.12017
     99.64031   174.12017
     99.64278   174.12017
     99.64523   174.12017
     99.64766   174.12017
     99.65008   174.12017
     99.65247   174.12017
     99.65486   174.12017
     99.65722   174.12017
     99.65957   174.12017
     99.66191   174.12017
     99.66423   174.12017
     99.66653   174.12017
     99.66881   174.12017
     99.67109   174.12017
     99.67334   174.12017
     99.67558   174.12017
     99.67780   174.12017
     99.68001   174.12017
     99.68221   174.12017
     99.68439   174.12017
     99.68655   174.12017
     99.68870   174.12017
     99.69083   174.12017
     99.69295   174.12017
     99.69506   174.12017
     99.69715   174.12017
     99.69923   174.12017
     99.70129   174.12017
     99.70334   174.12017
